Provider Name,State,City,Claims_Paid_for_Testing,Claims_Paid_for_Treatment,Georeferenced Column
ST JOSEPH HEALTH NORTH,CA,EUREKA,935.22,0,POINT (-124.161309 40.786143)
MARYAM PHILLIPS,FL,FERN PARK,0,109.18,POINT (-81.351966 28.651843000000003)
MOHAMMAD AFZAL,FL,LEESBURG,0,108.33,POINT (-81.881816 28.811191000000004)
HCTB INC,FL,SAINT CLOUD,1711.44,0,POINT (-81.280117 28.248887)
COVENANT CLINIC,IA,JESUP,1657.20,866.14,POINT (-92.061245 42.476395)
CITY OF CHICAGO,IL,CHICAGO,0,954.18,POINT (-87.632398 41.88322900000001)
SWEDISH COVENANT MEDIC,IL,CHICAGO,0,678.40,POINT (-87.632398 41.88322900000001)
CAPE COD HOSPITAL,MA,HYANNIS,51.33,0,POINT (-70.283302 41.652802)
MASS EXPRESS CARE,MA,RAYNHAM,83.43,0,POINT (-71.072885 41.949009)
LAHEY CLINIC INC,MA,WILMINGTON,56.38,0,POINT (-71.16382900000002 42.558285)
JOSETTE MARIA,NC,SPRING LAKE,211.62,0,POINT (-78.980271 35.177486)
ID CARE PA,NJ,WAYNE,0,3622.19,POINT (-74.231046 40.927178)
NORTH SHORE LIJ,NY,REGO PARK,1490.28,4557.15,POINT (-73.853104 40.726398)
GUTHRIE CLINIC,NY,VESTAL,0,17.02,POINT (-76.049207 42.085651)
WIZCARE,TX,WHITNEY,2900.80,0,POINT (-97.320205 31.951036)
UW PHYSICIANS,WA,SEATTLE,0,1813.53,POINT (-122.33028000000002 47.603229)
DEAN CLINIC,WI,MADISON,51.33,0,POINT (-89.385244 43.073926)
RADIOLOGY,WV,HUNTINGTON,15.71,0,POINT (-82.445205 38.419051)
FLORIDA REGIONAL EMERG,FL,MIAMI,1642.76,0,POINT (-80.194702 25.775084)
MONTEFIORE MEDICAL CEN,NY,BRONX,14456.86,34276.99,POINT (-73.920265 40.826153)
BERKELEY EMERGENCY MED,CA,BERKELEY,5579.98,2790.84,POINT (-122.270455 37.869058)
UCLA DEPARTMENT OF MED,CA,LOS ANGELES,191.65,0,POINT (-118.243344 34.052238)
RURAL HEALTH MEDICAL P,AL,CAMDEN,21.51,0,POINT (-87.295516 32.005748)
MIRIAM HOSPITAL,RI,EAST GREENWICH,0,154.03,POINT (-71.450022 41.662261)
UM COMMUNITY MEDICAL G,MD,DENTON,47.45,0,POINT (-75.827624 38.883951)
LAKE MICHIGAN EMERGENC,MI,MUSKEGON,2739.06,900.24,POINT (-86.246388 43.234221)
NOVANT MEDICAL GROUP,NC,WINSTON SALEM,2991.73,2026.72,POINT (-80.243735 36.096261)
ASCENSION RIVER DISTRI,MI,EAST CHINA,3692.84,0,POINT (-82.483426 42.758987000000005)
CHEROKEE NATION,OK,JAY,127.65,0,POINT (-94.796543 36.421527)
